bbref_id,season,Name,Age,Level,Team,G,PA,AB,R,H,X1B,X2B,X3B,HR,RBI,BB,IBB,uBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
davisbr04,2022,Brendon Davis,24,Maj-AL,Detroit,3,11,10,2,2,2,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0.2,0.273,0.2,0.473
whiteaa01,2022,Aaron Whitefield,25,Maj-AL,Los Angeles,5,11,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
lopezot01,2022,Otto Lopez,23,Maj-AL,Toronto,8,10,9,0,6,6,0,0,0,3,1,0,1,1,0,0,0,0,0,1,0.667,0.7,0.667,1.367
krizaja01,2022,Jason Krizan,33,Maj-NL,San Francisco,3,10,8,0,1,1,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0.125,0.3,0.125,0.425
lopesch01,2022,Christian Lopes,29,Maj-AL,Oakland,4,10,9,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0.1,0,0.1
deanau01,2022,Austin Dean,28,Maj-NL,San Francisco,3,9,8,1,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.375,0.444,0.375,0.819
crookna01,2022,Narciso Crook,26,Maj-NL,Chicago,4,9,8,1,2,1,1,0,0,2,0,0,0,3,0,0,1,1,0,0,0.25,0.222,0.375,0.597
diazya02,2022,Yainer Diaz,23,Maj-AL,Houston,6,9,8,0,1,0,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0.125,0.222,0.25,0.472
muzzisi01,2022,Símon Muzziotti,23,Maj-NL,Philadelphia,9,9,7,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0.143,0.25,0.143,0.393
swaggtr01,2022,Travis Swaggerty,24,Maj-NL,Pittsburgh,5,9,9,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.111,0.111,0.111,0.222
greingr01,2022,Grayson Greiner,29,Maj-NL,Arizona,2,8,6,0,1,1,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0.167,0.375,0.167,0.542
gorete01,2022,Terrance Gore,31,Maj-NL,New York,10,8,7,1,1,1,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0.143,0.143,0.143,0.286
inciaen01,2022,Ender Inciarte,31,Maj-NL,New York,11,8,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25
naylobo01,2022,Bo Naylor,22,Maj-AL,Cleveland,5,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
smithca05,2022,Canaan Smith-Njigba,23,Maj-NL,Pittsburgh,3,7,5,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0.2,0.429,0.4,0.829
capravi01,2022,Vinny Capra,25,Maj-AL,Toronto,8,7,5,2,1,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0.2,0.429,0.2,0.629
blancda02,2022,Dairon Blanco,29,Maj-AL,Kansas City,5,7,7,1,2,2,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0.286,0.286,0.286,0.571
fermifr01,2022,Freddy Fermin,27,Maj-AL,Kansas City,3,7,7,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
rosareg01,2022,Eguy Rosario,22,Maj-NL,San Diego,7,6,5,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0.2,0.333,0.2,0.533
wilsoma02,2022,Marcus Wilson,25,Maj-AL,Seattle,3,6,5,1,1,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0.2,0.333,0.2,0.533
mcdonmi01,2022,Mickey McDonald,27,Maj-AL,Oakland,4,6,4,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0.333,0,0.333
motteta01,2022,Taylor Motter,32,Maj-NL,Cincinnati,2,6,6,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.167,0.167,0.167,0.333
difowi01,2022,Wilmer Difo,30,Maj-NL,Arizona,3,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
guzmaro01,2022,Ronald Guzmán,27,Maj-AL,New York,3,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0
marrede01,2022,Deven Marrero,31,Maj-NL,New York,5,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
